Validation report
Format: glTF 2.0
Generator: mc GltfExporter Phase11
Stats:
174 draw calls
1 animations
7 materials
245691 vertices
124023 triangles
Extensions:
None
Report generated byKhronosGroup/glTF-Validator 2.0.0-dev.3.10.

Error	Message	Pointer
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/38/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/39/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/40/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/41/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/42/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/43/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/44/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/45/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/46/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/47/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/48/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/49/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/50/input
ANIMATION_SAMPLER_INPUT_ACCESSOR_WITHOUT_BOUNDS	accessor.min and accessor.max must be defined for animation input accessor.	/animations/0/samplers/51/input
Warning	Message	Pointer
MATERIAL_ALPHA_CUTOFF_INVALID_MODE	Alpha cutoff is supported only for 'MASK' alpha mode.	/materials/0/alphaCutoff
MATERIAL_ALPHA_CUTOFF_INVALID_MODE	Alpha cutoff is supported only for 'MASK' alpha mode.	/materials/1/alphaCutoff
MATERIAL_ALPHA_CUTOFF_INVALID_MODE	Alpha cutoff is supported only for 'MASK' alpha mode.	/materials/2/alphaCutoff
MATERIAL_ALPHA_CUTOFF_INVALID_MODE	Alpha cutoff is supported only for 'MASK' alpha mode.	/materials/3/alphaCutoff
MATERIAL_ALPHA_CUTOFF_INVALID_MODE	Alpha cutoff is supported only for 'MASK' alpha mode.	/materials/4/alphaCutoff
MATERIAL_ALPHA_CUTOFF_INVALID_MODE	Alpha cutoff is supported only for 'MASK' alpha mode.	/materials/5/alphaCutoff
MATERIAL_ALPHA_CUTOFF_INVALID_MODE	Alpha cutoff is supported only for 'MASK' alpha mode.	/materials/6/alphaCutoff
Info	Message	Pointer
UNUSED_OBJECT	This object may be unused.	/meshes/0/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/1/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/2/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/3/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/4/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/5/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/6/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/7/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/8/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/9/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/10/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/11/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/12/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/13/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/14/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/15/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/16/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/17/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/18/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/19/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/20/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/21/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/22/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/23/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/24/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/25/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/26/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/27/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/28/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/29/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/30/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/31/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/32/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/33/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/34/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/35/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/36/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/37/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/38/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/39/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/40/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/41/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/42/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/43/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/44/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/45/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/46/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/47/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/48/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/49/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/50/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/51/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/52/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/53/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/54/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/55/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/56/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/57/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/58/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/59/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/60/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/61/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/62/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/63/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/64/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/65/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/66/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/67/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/68/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/69/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/70/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/71/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/72/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/73/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/74/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/75/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/76/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/77/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/78/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/79/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/80/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/81/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/82/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/83/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/84/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/85/primitives/0/attributes/TEXCOORD_0
UNUSED_OBJECT	This object may be unused.	/meshes/86/primitives/0/attributes/TEXCOORD_0
